date,state,value
2024-09-20T07:00:00Z,Georgia,0.837
2024-09-20T07:00:00Z,Hawaii,0.383
2024-09-20T07:00:00Z,Idaho,0.9595
2024-09-20T07:00:00Z,Illinois,0.9665
2024-09-20T07:00:00Z,Indiana,0.8855
2024-09-20T07:00:00Z,Iowa,0.763
2024-09-20T07:00:00Z,Kansas,0.8145
2024-09-20T07:00:00Z,Kentucky,NA
2024-09-20T07:00:00Z,Louisiana,0.8385
2024-09-20T07:00:00Z,Maine,NA
2024-09-20T07:00:00Z,Maryland,NA
2024-09-20T07:00:00Z,Massachusetts,0.8805
2024-09-20T07:00:00Z,Michigan,0.7085
2024-09-20T07:00:00Z,Minnesota,0.985
2024-09-20T07:00:00Z,Mississippi,0.8035
2024-09-20T07:00:00Z,Missouri,NA
2024-09-20T07:00:00Z,Montana,NA
2024-09-20T07:00:00Z,Nebraska,NA
2024-09-20T07:00:00Z,Nevada,0.9975
2024-09-20T07:00:00Z,New Hampshire,0.8425
2024-09-20T07:00:00Z,New Jersey,0.763
2024-09-20T07:00:00Z,New Mexico,0.9615
2024-09-20T07:00:00Z,New York,0.8695
2024-09-20T07:00:00Z,North Carolina,0.579
2024-09-20T07:00:00Z,North Dakota,NA
2024-09-20T07:00:00Z,Ohio,0.632
2024-09-20T07:00:00Z,Oklahoma,0.5445
2024-09-20T07:00:00Z,Oregon,0.997
2024-09-20T07:00:00Z,Pennsylvania,0.401
2024-09-20T07:00:00Z,Rhode Island,NA
2024-09-20T07:00:00Z,South Carolina,0.861
2024-09-20T07:00:00Z,South Dakota,NA
2024-09-20T07:00:00Z,Tennessee,0.2835
2024-09-20T07:00:00Z,Texas,0.9925
2024-09-20T07:00:00Z,United States,0.957
2024-09-20T07:00:00Z,Utah,0.9775
2024-09-20T07:00:00Z,Vermont,NA
2024-09-20T07:00:00Z,Virginia,0.6725
2024-09-20T07:00:00Z,Washington,0.9795
2024-09-20T07:00:00Z,West Virginia,0.144
2024-09-20T07:00:00Z,Wisconsin,NA
2024-09-20T07:00:00Z,Wyoming,NA
2024-09-21T07:00:00Z,Alabama,0.994
2024-09-21T07:00:00Z,Alaska,0.055
2024-09-21T07:00:00Z,Arizona,1
2024-09-21T07:00:00Z,Arkansas,0.369
2024-09-21T07:00:00Z,California,0.9745
2024-09-21T07:00:00Z,Colorado,0.782
2024-09-21T07:00:00Z,Connecticut,0.2415
2024-09-21T07:00:00Z,Delaware,NA
2024-09-21T07:00:00Z,District of Columbia,NA
2024-09-21T07:00:00Z,Florida,0.908
2024-09-21T07:00:00Z,Georgia,0.837
2024-09-21T07:00:00Z,Hawaii,0.383
2024-09-21T07:00:00Z,Idaho,0.9595
2024-09-21T07:00:00Z,Illinois,0.9665
2024-09-21T07:00:00Z,Indiana,0.8855
2024-09-21T07:00:00Z,Iowa,0.763
2024-09-21T07:00:00Z,Kansas,0.8145
2024-09-21T07:00:00Z,Kentucky,NA
2024-09-21T07:00:00Z,Louisiana,0.8385
2024-09-21T07:00:00Z,Maine,NA
2024-09-21T07:00:00Z,Maryland,NA
2024-09-21T07:00:00Z,Massachusetts,0.8805
2024-09-21T07:00:00Z,Michigan,0.7085
2024-09-21T07:00:00Z,Minnesota,0.985
2024-09-21T07:00:00Z,Mississippi,0.8035
2024-09-21T07:00:00Z,Missouri,NA
2024-09-21T07:00:00Z,Montana,NA
2024-09-21T07:00:00Z,Nebraska,NA
2024-09-21T07:00:00Z,Nevada,0.9975
2024-09-21T07:00:00Z,New Hampshire,0.8425
2024-09-21T07:00:00Z,New Jersey,0.763
2024-09-21T07:00:00Z,New Mexico,0.9615
2024-09-21T07:00:00Z,New York,0.8695
2024-09-21T07:00:00Z,North Carolina,0.579
2024-09-21T07:00:00Z,North Dakota,NA
2024-09-21T07:00:00Z,Ohio,0.632
2024-09-21T07:00:00Z,Oklahoma,0.5445
2024-09-21T07:00:00Z,Oregon,0.997
2024-09-21T07:00:00Z,Pennsylvania,0.401
2024-09-21T07:00:00Z,Rhode Island,NA
2024-09-21T07:00:00Z,South Carolina,0.861
2024-09-21T07:00:00Z,South Dakota,NA
2024-09-21T07:00:00Z,Tennessee,0.2835
2024-09-21T07:00:00Z,Texas,0.9925
2024-09-21T07:00:00Z,United States,0.957
2024-09-21T07:00:00Z,Utah,0.9775
2024-09-21T07:00:00Z,Vermont,NA
2024-09-21T07:00:00Z,Virginia,0.6725
2024-09-21T07:00:00Z,Washington,0.9795
2024-09-21T07:00:00Z,West Virginia,0.144
2024-09-21T07:00:00Z,Wisconsin,NA
2024-09-21T07:00:00Z,Wyoming,NA
2024-09-22T07:00:00Z,Alabama,0.994
2024-09-22T07:00:00Z,Alaska,0.055
2024-09-22T07:00:00Z,Arizona,1
2024-09-22T07:00:00Z,Arkansas,0.369
2024-09-22T07:00:00Z,California,0.9745
2024-09-22T07:00:00Z,Colorado,0.782
2024-09-22T07:00:00Z,Connecticut,0.2415
2024-09-22T07:00:00Z,Delaware,NA
2024-09-22T07:00:00Z,District of Columbia,NA
2024-09-22T07:00:00Z,Florida,0.908
2024-09-22T07:00:00Z,Georgia,0.837
2024-09-22T07:00:00Z,Hawaii,0.383
2024-09-22T07:00:00Z,Idaho,0.9595
2024-09-22T07:00:00Z,Illinois,0.9665
2024-09-22T07:00:00Z,Indiana,0.8855
2024-09-22T07:00:00Z,Iowa,0.763
2024-09-22T07:00:00Z,Kansas,0.8145
2024-09-22T07:00:00Z,Kentucky,NA
2024-09-22T07:00:00Z,Louisiana,0.8385
2024-09-22T07:00:00Z,Maine,NA
2024-09-22T07:00:00Z,Maryland,NA
2024-09-22T07:00:00Z,Massachusetts,0.8805
2024-09-22T07:00:00Z,Michigan,0.7085
2024-09-22T07:00:00Z,Minnesota,0.985
2024-09-22T07:00:00Z,Mississippi,0.8035
2024-09-22T07:00:00Z,Missouri,NA
2024-09-22T07:00:00Z,Montana,NA
2024-09-22T07:00:00Z,Nebraska,NA
2024-09-22T07:00:00Z,Nevada,0.9975
2024-09-22T07:00:00Z,New Hampshire,0.8425
2024-09-22T07:00:00Z,New Jersey,0.763
2024-09-22T07:00:00Z,New Mexico,0.9615
2024-09-22T07:00:00Z,New York,0.8695
2024-09-22T07:00:00Z,North Carolina,0.579
2024-09-22T07:00:00Z,North Dakota,NA
2024-09-22T07:00:00Z,Ohio,0.632
2024-09-22T07:00:00Z,Oklahoma,0.5445
2024-09-22T07:00:00Z,Oregon,0.997
2024-09-22T07:00:00Z,Pennsylvania,0.401
2024-09-22T07:00:00Z,Rhode Island,NA
2024-09-22T07:00:00Z,South Carolina,0.861
2024-09-22T07:00:00Z,South Dakota,NA
2024-09-22T07:00:00Z,Tennessee,0.2835
2024-09-22T07:00:00Z,Texas,0.9925
2024-09-22T07:00:00Z,United States,0.957
2024-09-22T07:00:00Z,Utah,0.9775
2024-09-22T07:00:00Z,Vermont,NA
2024-09-22T07:00:00Z,Virginia,0.6725
2024-09-22T07:00:00Z,Washington,0.9795
2024-09-22T07:00:00Z,West Virginia,0.144
2024-09-22T07:00:00Z,Wisconsin,NA
2024-09-22T07:00:00Z,Wyoming,NA
2024-09-23T07:00:00Z,Alabama,0.994
2024-09-23T07:00:00Z,Alaska,0.055
2024-09-23T07:00:00Z,Arizona,1
2024-09-23T07:00:00Z,Arkansas,0.369
2024-09-23T07:00:00Z,California,0.9745
2024-09-23T07:00:00Z,Colorado,0.782
2024-09-23T07:00:00Z,Connecticut,0.2415
2024-09-23T07:00:00Z,Delaware,NA
2024-09-23T07:00:00Z,District of Columbia,NA
2024-09-23T07:00:00Z,Florida,0.908
2024-09-23T07:00:00Z,Georgia,0.837
2024-09-23T07:00:00Z,Hawaii,0.383
2024-09-23T07:00:00Z,Idaho,0.9595
2024-09-23T07:00:00Z,Illinois,0.9665
2024-09-23T07:00:00Z,Indiana,0.8855
2024-09-23T07:00:00Z,Iowa,0.763
2024-09-23T07:00:00Z,Kansas,0.8145
2024-09-23T07:00:00Z,Kentucky,NA
2024-09-23T07:00:00Z,Louisiana,0.8385
2024-09-23T07:00:00Z,Maine,NA
2024-09-23T07:00:00Z,Maryland,NA
2024-09-23T07:00:00Z,Massachusetts,0.8805
2024-09-23T07:00:00Z,Michigan,0.7085
2024-09-23T07:00:00Z,Minnesota,0.985
2024-09-23T07:00:00Z,Mississippi,0.8035
2024-09-23T07:00:00Z,Missouri,NA
2024-09-23T07:00:00Z,Montana,NA
2024-09-23T07:00:00Z,Nebraska,NA
2024-09-23T07:00:00Z,Nevada,0.9975
2024-09-23T07:00:00Z,New Hampshire,0.8425
2024-09-23T07:00:00Z,New Jersey,0.763
2024-09-23T07:00:00Z,New Mexico,0.9615
2024-09-23T07:00:00Z,New York,0.8695
2024-09-23T07:00:00Z,North Carolina,0.579
2024-09-23T07:00:00Z,North Dakota,NA
2024-09-23T07:00:00Z,Ohio,0.632
2024-09-23T07:00:00Z,Oklahoma,0.5445
2024-09-23T07:00:00Z,Oregon,0.997
2024-09-23T07:00:00Z,Pennsylvania,0.401
2024-09-23T07:00:00Z,Rhode Island,NA
2024-09-23T07:00:00Z,South Carolina,0.861
2024-09-23T07:00:00Z,South Dakota,NA
2024-09-23T07:00:00Z,Tennessee,0.2835
2024-09-23T07:00:00Z,Texas,0.9925
2024-09-23T07:00:00Z,United States,0.957
2024-09-23T07:00:00Z,Utah,0.9775
2024-09-23T07:00:00Z,Vermont,NA
2024-09-23T07:00:00Z,Virginia,0.6725
2024-09-23T07:00:00Z,Washington,0.9795
2024-09-23T07:00:00Z,West Virginia,0.144
2024-09-23T07:00:00Z,Wisconsin,NA
2024-09-23T07:00:00Z,Wyoming,NA
2024-09-24T07:00:00Z,Alabama,0.994
2024-09-24T07:00:00Z,Alaska,0.055
2024-09-24T07:00:00Z,Arizona,1
2024-09-24T07:00:00Z,Arkansas,0.369
2024-09-24T07:00:00Z,California,0.9745
2024-09-24T07:00:00Z,Colorado,0.782
2024-09-24T07:00:00Z,Connecticut,0.2415
2024-09-24T07:00:00Z,Delaware,NA
2024-09-24T07:00:00Z,District of Columbia,NA
2024-09-24T07:00:00Z,Florida,0.908
2024-09-24T07:00:00Z,Georgia,0.837
2024-09-24T07:00:00Z,Hawaii,0.383
2024-09-24T07:00:00Z,Idaho,0.9595
2024-09-24T07:00:00Z,Illinois,0.9665
2024-09-24T07:00:00Z,Indiana,0.8855
2024-09-24T07:00:00Z,Iowa,0.763
2024-09-24T07:00:00Z,Kansas,0.8145
2024-09-24T07:00:00Z,Kentucky,NA
2024-09-24T07:00:00Z,Louisiana,0.8385
2024-09-24T07:00:00Z,Maine,NA
2024-09-24T07:00:00Z,Maryland,NA
2024-09-24T07:00:00Z,Massachusetts,0.8805
2024-09-24T07:00:00Z,Michigan,0.7085
2024-09-24T07:00:00Z,Minnesota,0.985
2024-09-24T07:00:00Z,Mississippi,0.8035
2024-09-24T07:00:00Z,Missouri,NA
